unet3+_aspp
Epoch: 86, Acc: 0.6855109793240907, Acc_class: 0.601159427770549, mIoU: 0.4321721092000733, fwIoU: 0.5493805830050855, best_fwIoU: 0.5825653016759854, Loss: 0.421
Epoch: 87, Acc: 0.41784364669049373, Acc_class: 0.23245932252458026, mIoU: 0.1030101391323969, fwIoU: 0.29887601207217, best_fwIoU: 0.5825653016759854, Loss: 1.737
Epoch: 88, Acc: 0.5870574263275646, Acc_class: 0.3822098541131328, mIoU: 0.2526913998535662, fwIoU: 0.4644013852025072, best_fwIoU: 0.5825653016759854, Loss: 0.678
Epoch: 89, Acc: 0.6681761507128106, Acc_class: 0.4496470669239453, mIoU: 0.3443854894513795, fwIoU: 0.487123494140487, best_fwIoU: 0.5825653016759854, Loss: 0.475
Epoch: 90, Acc: 0.7200251094630508, Acc_class: 0.59490116869337, mIoU: 0.4553388970175086, fwIoU: 0.5840707650812618, best_fwIoU: 0.5840707650812618, Loss: 0.368
Epoch: 91, Acc: 0.7167867754326492, Acc_class: 0.5906157358739548, mIoU: 0.44511403510063435, fwIoU: 0.5778462643803263, best_fwIoU: 0.5840707650812618, Loss: 0.386
Epoch: 92, Acc: 0.5085327586189645, Acc_class: 0.44007545753979294, mIoU: 0.25561598805909636, fwIoU: 0.381775907007362, best_fwIoU: 0.5840707650812618, Loss: 0.731
Epoch: 93, Acc: 0.662756685350762, Acc_class: 0.5358024447418048, mIoU: 0.37122667614726634, fwIoU: 0.5266805718398899, best_fwIoU: 0.5840707650812618, Loss: 0.484
Epoch: 94, Acc: 0.5625586275194512, Acc_class: 0.4526858039086002, mIoU: 0.2794884400683976, fwIoU: 0.4216427161729942, best_fwIoU: 0.5840707650812618, Loss: 0.675
Epoch: 95, Acc: 0.44640681782706837, Acc_class: 0.3627654524672419, mIoU: 0.1944678348108678, fwIoU: 0.32728426156343277, best_fwIoU: 0.5840707650812618, Loss: 0.962
Epoch: 96, Acc: 0.5871926604724321, Acc_class: 0.5177751724844226, mIoU: 0.33250672731807296, fwIoU: 0.4512745270060919, best_fwIoU: 0.5840707650812618, Loss: 0.596
Epoch: 97, Acc: 0.7058101091228548, Acc_class: 0.5533363476716506, mIoU: 0.4131159170276001, fwIoU: 0.5781009872747892, best_fwIoU: 0.5840707650812618, Loss: 0.408
